,latbin,lonbin,LON,LAT,distance_total_meters,co2,co2_per_year,co2_per_year_with_trees,co2_per_year_with_trees_doubled
0,48.0902,17.09896,290.68235400000003,817.5334679999997,361417.1869450647,0.6916766044326706,2524.619606179248,2404.2465348271476,1320.8888926582454
1,48.09082,17.09879,290.679498,817.5441099999998,351418.664670886,0.7029102802456746,2565.6225228967123,2445.249451544612,1361.8918093757097
2,48.09132,17.09896,290.68243899999993,817.5525589999997,361417.1869450647,0.6916766044326706,2524.619606179248,2404.2465348271476,1320.8888926582454
3,48.091530000000006,17.194670000000002,34.389352,96.18307,19583.097506565682,0.0739710036557627,269.99416334353384,149.6210919914336,0.0
4,48.091590000000004,17.194650000000003,34.389308,96.183186,19583.097506565682,0.0739710036557627,269.99416334353384,149.6210919914336,0.0
5,48.091680000000004,17.19464,34.389288,96.18337,19583.097506565682,0.0739710036557627,269.99416334353384,149.6210919914336,0.0
6,48.09245000000001,17.09896,290.68240499999996,817.5717859999999,361417.1869450647,0.6916766044326706,2524.619606179248,2404.2465348271476,1320.8888926582454
7,48.092490000000005,17.09879,290.67944700000004,817.5724829999997,351418.664670886,0.7029102802456746,2565.6225228967123,2445.249451544612,1361.8918093757097
8,48.09272000000001,17.19507,34.390144,96.185446,19583.097506565682,0.0739710036557627,269.99416334353384,149.6210919914336,0.0
9,48.09295,17.05854,187.64398400000005,529.0224499999999,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
10,48.09302,17.058120000000002,187.63941900000006,529.023264,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
11,48.09310000000001,17.057940000000002,187.63743900000006,529.0241329999999,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
12,48.09326,17.098940000000002,290.68211600000006,817.5854879999997,361417.1869450647,0.6916766044326706,2524.619606179248,2404.2465348271476,1320.8888926582454
13,48.093270000000004,17.09878,290.67931100000004,817.5857430000003,351418.664670886,0.7029102802456746,2565.6225228967123,2445.249451544612,1361.8918093757097
14,48.09328000000001,17.05763,187.63396300000002,529.026135,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
15,48.09346000000001,17.057370000000002,187.631169,529.0281369999999,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
16,48.093630000000005,17.057190000000002,187.62914500000005,529.029974,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
17,48.09366000000001,17.098760000000002,290.67898799999995,817.5922879999999,351418.664670886,0.7029102802456746,2565.6225228967123,2445.249451544612,1361.8918093757097
18,48.09366000000001,17.098930000000003,290.6818609999999,817.5922879999999,361417.1869450647,0.6916766044326706,2524.619606179248,2404.2465348271476,1320.8888926582454
19,48.093680000000006,17.24249,137.94000000000003,384.749456,101508.85055017124,0.2467912668488543,900.7881239983182,780.4150526462179,0.0
20,48.09376,17.05705,187.62755,529.0313930000001,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
21,48.093830000000004,17.19545,34.390908,96.18767,19583.097506565682,0.0739710036557627,269.99416334353384,149.6210919914336,0.0
22,48.09384000000001,17.064210000000003,85.3211,240.469245,27691.54837075677,0.22683377825946632,827.9432906470521,707.5702192949518,0.0
23,48.093900000000005,17.05687,187.62561399999996,529.032999,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
24,48.09398,17.064130000000002,85.32069,240.46994999999998,27691.54837075677,0.22683377825946632,827.9432906470521,707.5702192949518,0.0
25,48.09405,17.05665,187.623249,529.0346160000001,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
26,48.09405,17.09873,290.678495,817.5988840000001,351418.664670886,0.7029102802456746,2565.6225228967123,2445.249451544612,1361.8918093757097
27,48.094060000000006,17.0989,290.68143599999996,817.599071,361417.1869450647,0.6916766044326706,2524.619606179248,2404.2465348271476,1320.8888926582454
28,48.09414,17.108780000000003,34.217564,96.188288,12324.018684603245,0.07739721879219429,282.49984859150914,162.12677723940888,0.0
29,48.09414,17.24175,137.934064,384.7531680000001,101508.85055017124,0.2467912668488543,900.7881239983182,780.4150526462179,0.0
30,48.09416,17.056440000000002,187.62092799999996,529.0358039999999,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
31,48.09418,17.10752,34.21504,96.18837,12324.018684603245,0.07739721879219429,282.49984859150914,162.12677723940888,0.0
32,48.09422000000001,17.1066,34.213206,96.188442,12324.018684603245,0.07739721879219429,282.49984859150914,162.12677723940888,0.0
33,48.09422000000001,17.24162,137.933032,384.75382399999995,101508.85055017124,0.2467912668488543,900.7881239983182,780.4150526462179,0.0
34,48.09423,17.106370000000002,34.212746,96.188474,12324.018684603245,0.07739721879219429,282.49984859150914,162.12677723940888,0.0
35,48.09425,17.108780000000003,34.21758,96.18851,11951.06536403965,0.07541934453034731,275.2806075357677,154.90753618366742,0.0
36,48.094260000000006,17.10613,34.212278,96.188524,12324.018684603245,0.07739721879219429,282.49984859150914,162.12677723940888,0.0
37,48.094280000000005,17.056130000000003,187.61750700000005,529.0371240000001,126023.32335056398,0.5836247961111586,2130.230505805729,2009.857434453629,926.4997922847265
38,48.094280000000005,17.105900000000002,34.211818,96.188576,12324.018684603245,0.07739721879219429,282.49984859150914,162.12677723940888,0.0
39,48.09429,17.10753,34.215074,96.188596,11951.06536403965,0.07541934453034731,275.2806075357677,154.90753618366742,0.0
